machine_id,machine_type,component,sample_date,smu_hours,oil_hours,lab_severity,risk,risk_level
HT-010,HAUL_TRUCK,TRANSMISSION,2026-06-23,15954.7,12.1,NORMAL,0.006396081148390915,LOW
EX-003,EXCAVATOR,TRANSMISSION,2026-04-28,14240.1,564.7,NORMAL,0.006237510064492088,LOW
EX-017,EXCAVATOR,ENGINE,2026-06-11,13151.1,229.5,NORMAL,0.005818350192536537,LOW
EX-006,EXCAVATOR,HYDRAULIC,2026-04-01,11426.1,50.2,NORMAL,0.004795985468768806,LOW
WL-005,WHEEL_LOADER,TRANSMISSION,2026-05-22,17109.0,941.4,NORMAL,0.004651220686584003,LOW
HT-011,HAUL_TRUCK,TRANSMISSION,2026-06-28,19983.8,48.4,NORMAL,0.0045544904582584715,LOW
EX-015,EXCAVATOR,FINAL_DRIVE,2026-04-09,12825.4,27.0,NORMAL,0.004483062475918469,LOW
HT-014,HAUL_TRUCK,TRANSMISSION,2026-05-20,14949.1,979.7,MONITOR,0.004351650517710021,LOW
EX-018,EXCAVATOR,ENGINE,2026-06-28,21881.2,6.4,NORMAL,0.004250599946561903,LOW
WL-006,WHEEL_LOADER,ENGINE,2026-06-23,19312.6,235.6,NORMAL,0.0042047196621033366,LOW
EX-016,EXCAVATOR,ENGINE,2026-06-25,13278.1,6.9,NORMAL,0.0037413574533778234,LOW
WL-005,WHEEL_LOADER,ENGINE,2026-06-20,17225.2,5.4,NORMAL,0.0035120685311960946,LOW
HT-007,HAUL_TRUCK,HYDRAULIC,2026-04-19,18166.0,788.8,NORMAL,0.003442229305152131,LOW
WL-012,WHEEL_LOADER,HYDRAULIC,2026-06-29,13501.6,30.8,NORMAL,0.003347946982396025,LOW
HT-004,HAUL_TRUCK,TRANSMISSION,2026-06-11,19188.1,628.0,NORMAL,0.0031774321128772037,LOW
EX-001,EXCAVATOR,ENGINE,2026-06-22,16242.4,56.8,NORMAL,0.002922462862749106,LOW
HT-001,HAUL_TRUCK,ENGINE,2026-05-21,9809.6,256.6,NORMAL,0.002892950456941169,LOW
HT-011,HAUL_TRUCK,ENGINE,2026-06-21,20044.0,15.7,NORMAL,0.0027705798654547066,LOW
HT-005,HAUL_TRUCK,ENGINE,2026-06-18,17524.2,14.9,NORMAL,0.002759140299405809,LOW
EX-011,EXCAVATOR,TRANSMISSION,2026-04-30,18561.6,219.7,NORMAL,0.0027113472516483634,LOW
EX-016,EXCAVATOR,FINAL_DRIVE,2026-06-25,13253.0,46.5,NORMAL,0.0026044346911403356,LOW
EX-002,EXCAVATOR,ENGINE,2026-06-01,12747.2,44.5,NORMAL,0.0024273361702098245,LOW
EX-012,EXCAVATOR,HYDRAULIC,2026-05-31,16528.0,34.2,NORMAL,0.002221506864566468,LOW
HT-009,HAUL_TRUCK,TRANSMISSION,2026-06-17,14153.8,875.1,NORMAL,0.002168553328085993,LOW
HT-002,HAUL_TRUCK,HYDRAULIC,2026-06-02,12424.8,13.2,NORMAL,0.0021431402896140914,LOW
HT-008,HAUL_TRUCK,TRANSMISSION,2026-06-04,18212.7,58.5,NORMAL,0.00207379403136706,LOW
WL-015,WHEEL_LOADER,HYDRAULIC,2026-04-20,13211.8,6.7,NORMAL,0.001947873513836808,LOW
EX-004,EXCAVATOR,HYDRAULIC,2026-04-04,11199.4,1040.5,NORMAL,0.0019421639415911258,LOW
EX-008,EXCAVATOR,TRANSMISSION,2026-05-11,11659.5,585.9,NORMAL,0.0018910174500482615,LOW
WL-010,WHEEL_LOADER,ENGINE,2026-06-21,16213.7,470.5,MONITOR,0.0018800414369144077,LOW
EX-004,EXCAVATOR,TRANSMISSION,2026-05-15,11449.8,412.7,NORMAL,0.001831955688287694,LOW
WL-003,WHEEL_LOADER,ENGINE,2026-06-13,16350.2,13.7,NORMAL,0.0016921205957581367,LOW
WL-005,WHEEL_LOADER,HYDRAULIC,2026-06-13,17289.0,23.4,NORMAL,0.0015780194999051513,LOW
WL-011,WHEEL_LOADER,HYDRAULIC,2026-06-18,12194.5,614.2,NORMAL,0.0015749259796146982,LOW
EX-005,EXCAVATOR,HYDRAULIC,2026-05-18,12449.0,12.0,NORMAL,0.0015480228475073213,LOW
EX-020,EXCAVATOR,HYDRAULIC,2026-04-01,9377.0,708.4,NORMAL,0.0015095505847507577,LOW
HT-012,HAUL_TRUCK,FINAL_DRIVE,2026-04-06,17593.0,1003.1,NORMAL,0.0014085600122838318,LOW
EX-016,EXCAVATOR,TRANSMISSION,2026-05-02,12855.0,50.3,NORMAL,0.0013937599183340582,LOW
HT-004,HAUL_TRUCK,ENGINE,2026-05-30,18996.7,208.5,NORMAL,0.0013873445643184012,LOW
EX-001,EXCAVATOR,HYDRAULIC,2026-04-25,15683.7,55.4,NORMAL,0.0013402939361368896,LOW
HT-001,HAUL_TRUCK,HYDRAULIC,2026-04-01,9454.1,1129.9,NORMAL,0.0013040114769806163,LOW
WL-007,WHEEL_LOADER,HYDRAULIC,2026-05-26,18445.6,951.9,NORMAL,0.0012557277216785115,LOW
EX-012,EXCAVATOR,FINAL_DRIVE,2026-06-11,16766.9,3.7,NORMAL,0.0012012272555521578,LOW
WL-003,WHEEL_LOADER,HYDRAULIC,2026-06-13,16281.3,16.5,NORMAL,0.0011937400064778,LOW
EX-005,EXCAVATOR,FINAL_DRIVE,2026-04-26,12355.6,1568.6,NORMAL,0.0011646300193629375,LOW
EX-019,EXCAVATOR,TRANSMISSION,2026-04-30,13881.0,6.3,NORMAL,0.0011619487577928082,LOW
HT-004,HAUL_TRUCK,HYDRAULIC,2026-05-18,19068.3,3.7,NORMAL,0.0011561850570842127,LOW
EX-013,EXCAVATOR,ENGINE,2026-06-09,11557.6,313.7,NORMAL,0.0011560893687576007,LOW
HT-010,HAUL_TRUCK,ENGINE,2026-06-25,15809.7,242.9,NORMAL,0.0011348487179467126,LOW
WL-007,WHEEL_LOADER,TRANSMISSION,2026-05-20,18201.2,947.2,NORMAL,0.0011029652829358102,LOW
WL-015,WHEEL_LOADER,FINAL_DRIVE,2026-04-27,13460.3,897.7,NORMAL,0.0011010788374722685,LOW
EX-003,EXCAVATOR,HYDRAULIC,2026-06-16,14666.9,37.5,NORMAL,0.0010804825644686795,LOW
HT-002,HAUL_TRUCK,ENGINE,2026-05-22,12278.3,219.4,NORMAL,0.001067817598405297,LOW
HT-014,HAUL_TRUCK,ENGINE,2026-06-25,15452.8,305.3,NORMAL,0.001025994527473584,LOW
EX-019,EXCAVATOR,ENGINE,2026-06-28,14218.6,246.8,NORMAL,0.0009968619790693537,LOW
WL-003,WHEEL_LOADER,FINAL_DRIVE,2026-04-16,15700.7,16.3,NORMAL,0.0009598196369666003,LOW
EX-005,EXCAVATOR,TRANSMISSION,2026-06-21,12700.5,423.1,NORMAL,0.0009198739659663769,LOW
HT-009,HAUL_TRUCK,HYDRAULIC,2026-06-11,13923.7,37.2,NORMAL,0.0009104216119748235,LOW
EX-003,EXCAVATOR,FINAL_DRIVE,2026-06-25,14772.9,946.6,NORMAL,0.0009056543514382883,LOW
WL-008,WHEEL_LOADER,ENGINE,2026-06-05,11602.5,59.9,NORMAL,0.0008527528677136169,LOW
WL-006,WHEEL_LOADER,TRANSMISSION,2026-06-18,19374.2,596.1,NORMAL,0.0008461244918098413,LOW
EX-009,EXCAVATOR,TRANSMISSION,2026-06-13,18291.8,6.2,NORMAL,0.0008331949399114664,LOW
HT-003,HAUL_TRUCK,ENGINE,2026-06-20,16442.6,289.8,NORMAL,0.0008314083898798632,LOW
HT-013,HAUL_TRUCK,HYDRAULIC,2026-05-23,19908.5,828.5,NORMAL,0.0008102157397033592,LOW
HT-006,HAUL_TRUCK,HYDRAULIC,2026-06-23,17874.7,806.5,NORMAL,0.0008014810338642938,LOW
HT-005,HAUL_TRUCK,FINAL_DRIVE,2026-04-06,16592.0,931.1,NORMAL,0.000755792118521614,LOW
WL-008,WHEEL_LOADER,FINAL_DRIVE,2026-06-21,11759.5,4.2,NORMAL,0.0007409982928345977,LOW
HT-011,HAUL_TRUCK,FINAL_DRIVE,2026-05-04,19349.1,741.4,NORMAL,0.0007140080665272782,LOW
WL-001,WHEEL_LOADER,ENGINE,2026-06-22,16650.4,178.5,NORMAL,0.0006965287077203635,LOW
HT-001,HAUL_TRUCK,TRANSMISSION,2026-06-07,9899.7,545.0,NORMAL,0.0006810226594289026,LOW
EX-013,EXCAVATOR,HYDRAULIC,2026-05-13,11492.9,722.5,NORMAL,0.0006416144093055489,LOW
WL-013,WHEEL_LOADER,FINAL_DRIVE,2026-06-08,17353.8,2.9,NORMAL,0.0006315714466831613,LOW
WL-011,WHEEL_LOADER,TRANSMISSION,2026-05-10,11821.7,392.4,NORMAL,0.0006273443934789575,LOW
WL-001,WHEEL_LOADER,FINAL_DRIVE,2026-05-31,16237.9,41.2,NORMAL,0.0006247179347804288,LOW
HT-006,HAUL_TRUCK,TRANSMISSION,2026-06-23,18025.9,470.1,NORMAL,0.0006184532720290289,LOW
WL-008,WHEEL_LOADER,TRANSMISSION,2026-04-10,11296.6,960.9,NORMAL,0.0006127607834449972,LOW
EX-014,EXCAVATOR,HYDRAULIC,2026-06-08,16689.4,33.1,NORMAL,0.0006106542428601644,LOW
HT-006,HAUL_TRUCK,FINAL_DRIVE,2026-05-13,17470.1,8.4,NORMAL,0.0006066136573948738,LOW
WL-013,WHEEL_LOADER,TRANSMISSION,2026-05-06,17018.6,630.4,NORMAL,0.000598349618613453,LOW
WL-004,WHEEL_LOADER,HYDRAULIC,2026-06-15,18925.4,11.3,NORMAL,0.000583821793200794,LOW
HT-003,HAUL_TRUCK,HYDRAULIC,2026-05-04,15987.6,48.2,NORMAL,0.0005731577346572265,LOW
WL-009,WHEEL_LOADER,HYDRAULIC,2026-06-08,11468.7,0.7,NORMAL,0.0005234928163952002,LOW
HT-007,HAUL_TRUCK,FINAL_DRIVE,2026-06-10,18614.4,24.5,NORMAL,0.0004992896597905083,LOW
EX-002,EXCAVATOR,TRANSMISSION,2026-05-26,12641.1,538.7,NORMAL,0.00046649613401987143,LOW
EX-007,EXCAVATOR,FINAL_DRIVE,2026-04-05,13926.5,6.9,NORMAL,0.0004661523758131643,LOW
EX-002,EXCAVATOR,FINAL_DRIVE,2026-04-03,12333.9,3.1,NORMAL,0.00044798165792228763,LOW
HT-008,HAUL_TRUCK,HYDRAULIC,2026-05-08,18003.6,10.0,NORMAL,0.00044768439156574094,LOW
EX-011,EXCAVATOR,ENGINE,2026-06-21,18922.9,212.0,NORMAL,0.0004474578471812442,LOW
EX-007,EXCAVATOR,ENGINE,2026-06-04,14521.7,271.2,NORMAL,0.0004411344480087025,LOW
EX-017,EXCAVATOR,FINAL_DRIVE,2026-06-07,13152.1,809.8,NORMAL,0.00043509892294824596,LOW
HT-014,HAUL_TRUCK,HYDRAULIC,2026-06-07,15228.1,38.6,NORMAL,0.00040721500621763827,LOW
WL-006,WHEEL_LOADER,HYDRAULIC,2026-06-13,19273.2,12.0,NORMAL,0.00038569501910879763,LOW
EX-004,EXCAVATOR,FINAL_DRIVE,2026-06-24,11691.4,1014.2,NORMAL,0.0003656284786860754,LOW
WL-014,WHEEL_LOADER,TRANSMISSION,2026-05-18,12633.8,546.1,NORMAL,0.00036524240538301464,LOW
HT-007,HAUL_TRUCK,ENGINE,2026-06-14,18607.9,276.0,NORMAL,0.0003651783196248934,LOW
WL-001,WHEEL_LOADER,TRANSMISSION,2026-05-10,16153.8,929.9,NORMAL,0.0003541809010237629,LOW
WL-002,WHEEL_LOADER,HYDRAULIC,2026-06-24,9568.8,1195.3,NORMAL,0.00032994428761489017,LOW
EX-017,EXCAVATOR,HYDRAULIC,2026-06-21,13327.8,58.7,NORMAL,0.0003230820392311361,LOW
HT-013,HAUL_TRUCK,TRANSMISSION,2026-05-25,19877.9,541.9,NORMAL,0.00030502523244611433,LOW
WL-002,WHEEL_LOADER,TRANSMISSION,2026-04-10,9014.4,564.9,NORMAL,0.0002883231945897532,LOW
EX-011,EXCAVATOR,HYDRAULIC,2026-05-30,18799.9,58.6,NORMAL,0.00027194665719428496,LOW
EX-014,EXCAVATOR,TRANSMISSION,2026-05-23,16493.7,730.9,NORMAL,0.00026987771715048355,LOW
EX-016,EXCAVATOR,HYDRAULIC,2026-06-26,13253.0,1240.8,NORMAL,0.0002489533408949061,LOW
WL-012,WHEEL_LOADER,ENGINE,2026-05-31,13396.7,251.3,NORMAL,0.00024395798293298207,LOW
EX-001,EXCAVATOR,FINAL_DRIVE,2026-05-16,15829.2,870.4,NORMAL,0.0002330812367361143,LOW
WL-002,WHEEL_LOADER,ENGINE,2026-06-05,9505.6,269.2,NORMAL,0.00021870862352579292,LOW
EX-001,EXCAVATOR,TRANSMISSION,2026-06-17,16146.9,571.5,NORMAL,0.00020843398034787637,LOW
WL-002,WHEEL_LOADER,FINAL_DRIVE,2026-04-07,8997.0,1764.5,NORMAL,0.00020589526989027744,LOW
WL-009,WHEEL_LOADER,FINAL_DRIVE,2026-06-02,11439.1,749.2,NORMAL,0.00020406795842180364,LOW
EX-010,EXCAVATOR,HYDRAULIC,2026-05-06,17973.8,1031.3,NORMAL,0.0001989040208699942,LOW
EX-018,EXCAVATOR,HYDRAULIC,2026-06-23,21960.8,30.0,NORMAL,0.00018716427083884403,LOW
WL-011,WHEEL_LOADER,ENGINE,2026-05-21,11997.9,261.3,NORMAL,0.0001784701597117571,LOW
EX-015,EXCAVATOR,TRANSMISSION,2026-04-21,12946.6,23.0,NORMAL,0.00017638448912306732,LOW
HT-015,HAUL_TRUCK,FINAL_DRIVE,2026-06-10,11010.3,1308.7,NORMAL,0.0001633797791756465,LOW
HT-012,HAUL_TRUCK,HYDRAULIC,2026-06-23,18653.7,1777.6,NORMAL,0.00016038762450487537,LOW
HT-002,HAUL_TRUCK,FINAL_DRIVE,2026-06-20,12427.0,744.4,NORMAL,0.00015520443012228513,LOW
HT-010,HAUL_TRUCK,FINAL_DRIVE,2026-06-19,15860.6,1563.1,NORMAL,0.0001542551162022702,LOW
HT-003,HAUL_TRUCK,FINAL_DRIVE,2026-06-18,16395.9,1786.2,NORMAL,0.00014181930371804684,LOW
EX-002,EXCAVATOR,HYDRAULIC,2026-06-23,12827.5,1503.4,NORMAL,0.00014117106172710113,LOW
HT-007,HAUL_TRUCK,TRANSMISSION,2026-05-28,18473.4,624.2,NORMAL,0.0001321737917931648,LOW
EX-011,EXCAVATOR,FINAL_DRIVE,2026-05-30,18757.5,1470.8,NORMAL,0.00012423161082328438,LOW
EX-006,EXCAVATOR,FINAL_DRIVE,2026-04-01,11453.9,767.2,NORMAL,0.00012064346049279387,LOW
HT-014,HAUL_TRUCK,FINAL_DRIVE,2026-04-12,14732.0,793.4,NORMAL,0.0001200438792006534,LOW
EX-020,EXCAVATOR,FINAL_DRIVE,2026-06-19,10027.3,1982.1,NORMAL,0.00011773430106208369,LOW
EX-013,EXCAVATOR,FINAL_DRIVE,2026-05-22,11488.8,718.0,NORMAL,0.00010413625762837272,LOW
WL-014,WHEEL_LOADER,FINAL_DRIVE,2026-06-15,12879.7,1734.4,NORMAL,0.0001015287164516212,LOW
WL-014,WHEEL_LOADER,HYDRAULIC,2026-04-03,12308.0,1194.2,NORMAL,7.98132713186366e-05,LOW
EX-014,EXCAVATOR,FINAL_DRIVE,2026-06-05,16766.0,1531.3,NORMAL,7.885208963788296e-05,LOW
WL-010,WHEEL_LOADER,HYDRAULIC,2026-05-24,16025.4,803.5,NORMAL,6.961674008812435e-05,LOW
HT-008,HAUL_TRUCK,ENGINE,2026-06-07,18257.5,493.8,NORMAL,6.467410052662783e-05,LOW
EX-019,EXCAVATOR,FINAL_DRIVE,2026-06-22,14227.8,1756.4,NORMAL,5.8571674254324816e-05,LOW
WL-008,WHEEL_LOADER,HYDRAULIC,2026-06-23,11759.5,1574.7,NORMAL,5.40844118730526e-05,LOW
EX-009,EXCAVATOR,FINAL_DRIVE,2026-05-27,18031.5,9.7,NORMAL,5.3335133492636416e-05,LOW
HT-005,HAUL_TRUCK,HYDRAULIC,2026-04-20,16705.4,1541.1,NORMAL,5.1397661132644496e-05,LOW
EX-010,EXCAVATOR,ENGINE,2026-06-11,18285.7,424.4,NORMAL,4.8582066841839155e-05,LOW
HT-009,HAUL_TRUCK,ENGINE,2026-06-20,13968.0,59.2,NORMAL,4.657880759862824e-05,LOW
WL-007,WHEEL_LOADER,FINAL_DRIVE,2026-04-30,18034.5,1723.4,NORMAL,4.4883264014675455e-05,LOW
HT-010,HAUL_TRUCK,HYDRAULIC,2026-06-26,15814.4,787.3,NORMAL,4.456932497953443e-05,LOW
EX-009,EXCAVATOR,HYDRAULIC,2026-05-22,18011.5,1019.0,NORMAL,3.999800000841371e-05,LOW
EX-007,EXCAVATOR,HYDRAULIC,2026-05-30,14459.6,1489.5,NORMAL,3.603049885269829e-05,LOW
WL-015,WHEEL_LOADER,ENGINE,2026-06-09,13840.0,499.2,NORMAL,2.61427866898443e-05,LOW
WL-012,WHEEL_LOADER,FINAL_DRIVE,2026-04-01,12906.1,1224.1,NORMAL,2.3242467804046614e-05,LOW
EX-008,EXCAVATOR,FINAL_DRIVE,2026-06-27,11908.7,634.9,NORMAL,2.2203001256802927e-05,LOW
HT-013,HAUL_TRUCK,FINAL_DRIVE,2026-05-09,19819.6,836.7,NORMAL,2.134840089455433e-05,LOW
HT-004,HAUL_TRUCK,FINAL_DRIVE,2026-05-13,19006.1,1595.0,NORMAL,2.030874379666613e-05,LOW
HT-013,HAUL_TRUCK,ENGINE,2026-06-21,20024.6,432.2,NORMAL,1.828283286905421e-05,LOW
WL-005,WHEEL_LOADER,FINAL_DRIVE,2026-05-23,17059.0,1.3,NORMAL,1.659209668980266e-05,LOW
WL-013,WHEEL_LOADER,ENGINE,2026-06-14,17605.1,443.5,NORMAL,1.4812584501758453e-05,LOW
WL-006,WHEEL_LOADER,FINAL_DRIVE,2026-06-14,19404.1,1694.6,NORMAL,1.1845882518217412e-05,LOW
WL-010,WHEEL_LOADER,FINAL_DRIVE,2026-06-28,16256.1,820.9,NORMAL,1.0696828079969836e-05,LOW
WL-011,WHEEL_LOADER,FINAL_DRIVE,2026-06-24,12194.5,1774.2,NORMAL,1.055356538494866e-05,LOW
EX-018,EXCAVATOR,FINAL_DRIVE,2026-04-18,21147.0,1725.8,NORMAL,9.738589294583734e-06,LOW
EX-019,EXCAVATOR,HYDRAULIC,2026-04-03,13652.9,1775.9,NORMAL,8.730996902257902e-06,LOW
WL-004,WHEEL_LOADER,ENGINE,2026-06-06,18847.2,456.9,NORMAL,6.052849941858485e-06,LOW
HT-006,HAUL_TRUCK,ENGINE,2026-06-20,17822.9,496.1,NORMAL,1.133583267441023e-06,LOW
