sample_id,machine_id,machine_type,model,component,sample_date,smu_hours,oil_hours,oil_changed,fe_ppm,cu_ppm,cr_ppm,pb_ppm,al_ppm,si_ppm,na_ppm,k_ppm,water_pct,fuel_pct,glycol_pct,soot_pct,visc40,oxidation,nitration,tbn,pq_index,lab_severity
S00000029,EX-001,EXCAVATOR,336,ENGINE,2025-03-03,11926.7,52.8,N,10.1,4.9,1.36,2.8,3.8,4.2,2.4,2.0,0.019,0.83,0.0,0.28,106.6,10.0,6.7,9.94,4.2,NORMAL
S00000030,EX-001,EXCAVATOR,336,ENGINE,2025-03-29,12159.9,286.1,N,20.2,9.2,2.01,3.9,5.3,9.4,4.6,3.3,0.014,0.46,0.0,0.42,103.7,12.3,8.9,7.49,9.3,NORMAL
S00000031,EX-001,EXCAVATOR,336,ENGINE,2025-04-25,12401.9,12.1,N,12.6,4.2,0.96,2.2,2.4,5.2,1.9,2.1,0.012,0.65,0.0,0.19,102.5,9.1,6.4,10.76,5.0,NORMAL
S00000032,EX-001,EXCAVATOR,336,ENGINE,2025-05-14,12577.1,187.4,N,17.3,4.7,1.16,3.8,6.4,6.5,4.1,2.7,0.013,0.97,0.0,0.41,109.7,13.1,6.9,8.98,6.7,NORMAL
S00000033,EX-001,EXCAVATOR,336,ENGINE,2025-06-20,12914.8,40.9,N,14.3,4.5,1.31,3.2,3.8,5.8,2.0,1.5,0.033,0.44,0.0,0.23,105.5,9.2,5.5,9.38,6.0,NORMAL
S00000034,EX-001,EXCAVATOR,336,ENGINE,2025-07-17,13159.3,285.5,N,18.6,9.0,1.7,4.2,5.1,9.3,4.6,3.0,0.022,1.18,0.0,0.44,107.0,13.7,8.7,8.03,8.8,NORMAL
S00000035,EX-001,EXCAVATOR,336,ENGINE,2025-08-11,13387.2,32.5,N,9.1,4.2,1.8,2.6,3.7,4.7,1.6,1.3,0.031,0.48,0.0,0.19,108.5,8.0,6.5,10.66,5.7,NORMAL
S00000036,EX-001,EXCAVATOR,336,ENGINE,2025-09-02,13587.4,232.7,N,20.0,5.7,2.22,3.2,5.5,7.9,3.6,2.5,0.033,0.55,0.0,0.46,102.9,12.0,7.9,7.93,8.1,NORMAL
S00000037,EX-001,EXCAVATOR,336,ENGINE,2025-09-24,13786.1,431.4,N,29.8,12.1,2.57,4.6,6.7,9.5,5.0,5.1,0.018,0.62,0.0,0.68,108.4,16.1,10.4,7.16,11.3,NORMAL
S00000038,EX-001,EXCAVATOR,336,ENGINE,2025-11-03,14144.8,48.8,N,9.6,5.0,1.1,2.4,3.4,5.0,2.3,1.8,0.031,0.89,0.0,0.31,111.1,8.7,5.9,9.68,4.6,NORMAL
S00000039,EX-001,EXCAVATOR,336,ENGINE,2025-11-30,14387.9,292.0,N,15.4,8.1,2.4,5.0,5.4,10.4,5.4,2.7,0.012,0.62,0.0,0.59,108.5,12.7,8.6,8.38,10.8,NORMAL
S00000040,EX-001,EXCAVATOR,336,ENGINE,2025-12-27,14631.6,16.9,N,9.0,3.8,1.05,2.1,3.3,4.9,2.1,1.5,0.021,0.35,0.0,0.21,110.6,8.8,5.9,10.08,4.3,NORMAL
S00000041,EX-001,EXCAVATOR,336,ENGINE,2026-01-31,14954.1,339.5,N,18.4,7.4,2.88,4.8,5.8,8.5,3.6,3.6,0.02,0.74,0.0,0.48,105.6,15.6,8.6,7.79,11.2,NORMAL
S00000042,EX-001,EXCAVATOR,336,ENGINE,2026-02-24,15170.8,35.8,N,8.8,4.6,1.11,1.8,4.6,4.3,2.0,2.2,0.016,0.59,0.0,0.27,104.9,7.9,5.5,9.9,6.0,NORMAL
S00000043,EX-001,EXCAVATOR,336,ENGINE,2026-03-30,15474.9,340.0,N,27.7,18.3,1.86,16.7,7.8,10.8,4.5,3.9,0.024,0.74,0.0,0.48,108.7,12.6,8.4,7.46,14.7,MONITOR
S00000044,EX-001,EXCAVATOR,336,ENGINE,2026-04-27,15736.8,7.4,N,8.8,2.5,1.04,3.2,3.0,4.4,2.6,1.8,0.021,0.8,0.0,0.19,106.6,8.6,5.8,9.71,4.9,NORMAL
S00000045,EX-001,EXCAVATOR,336,ENGINE,2026-05-30,16033.7,304.3,N,27.0,7.7,2.29,5.2,7.2,9.2,4.7,3.3,0.015,0.6,0.0,0.48,111.0,13.2,7.8,7.2,7.2,NORMAL
S00000046,EX-001,EXCAVATOR,336,ENGINE,2026-06-22,16242.4,56.8,N,14.8,5.3,1.36,2.6,3.2,6.3,2.4,2.1,0.022,0.72,0.0,0.23,108.7,9.2,7.3,10.02,5.1,NORMAL
S00000084,EX-001,EXCAVATOR,336,FINAL_DRIVE,2023-04-10,5560.0,57.9,N,56.1,5.1,3.68,3.3,3.0,6.5,1.8,1.0,0.048,0.0,0.0,0.03,102.6,4.8,3.0,5.63,18.2,NORMAL
S00000085,EX-001,EXCAVATOR,336,FINAL_DRIVE,2023-07-05,6347.0,844.8,N,73.8,9.2,3.79,5.7,6.1,8.3,2.7,1.9,0.078,0.0,0.0,0.04,107.1,6.4,3.8,4.68,23.6,NORMAL
S00000086,EX-001,EXCAVATOR,336,FINAL_DRIVE,2023-10-03,7163.1,1661.0,N,101.0,15.4,6.59,8.4,8.7,10.9,4.2,2.6,0.053,0.0,0.0,0.08,100.2,8.3,4.5,3.84,40.2,NORMAL
S00000087,EX-001,EXCAVATOR,336,FINAL_DRIVE,2023-12-11,7787.5,59.5,N,38.4,4.7,2.69,4.4,3.4,4.6,1.6,1.1,0.067,0.0,0.0,0.03,99.5,5.7,2.9,5.48,18.0,NORMAL
S00000088,EX-001,EXCAVATOR,336,FINAL_DRIVE,2024-02-26,8483.9,755.9,N,64.0,8.7,3.67,8.7,5.3,6.2,2.5,2.3,0.052,0.0,0.0,0.05,96.5,7.0,4.2,4.8,23.0,NORMAL
S00000089,EX-001,EXCAVATOR,336,FINAL_DRIVE,2024-05-26,9300.0,1572.0,N,149.0,11.0,7.65,9.4,8.2,9.6,3.3,2.7,0.051,0.0,0.0,0.07,102.0,8.3,5.0,3.9,32.3,NORMAL
S00000090,EX-001,EXCAVATOR,336,FINAL_DRIVE,2024-08-24,10116.2,57.1,N,50.6,4.5,2.81,5.6,2.5,5.3,1.8,1.0,0.046,0.0,0.0,0.02,100.7,4.9,3.1,5.85,18.6,NORMAL
S00000091,EX-001,EXCAVATOR,336,FINAL_DRIVE,2024-11-22,10932.3,873.3,N,74.9,9.6,3.67,7.2,5.2,10.8,2.3,2.2,0.031,0.0,0.0,0.05,100.7,6.9,4.1,4.28,21.1,NORMAL
S00000092,EX-001,EXCAVATOR,336,FINAL_DRIVE,2025-02-20,11748.5,1689.4,N,95.8,13.4,5.74,9.2,6.4,14.0,5.3,2.2,0.031,0.0,0.0,0.08,102.2,10.5,4.1,3.96,40.6,NORMAL
S00000093,EX-001,EXCAVATOR,336,FINAL_DRIVE,2025-05-21,12564.6,17.9,N,51.5,5.1,2.59,3.5,4.3,5.9,1.9,1.0,0.046,0.0,0.0,0.03,103.9,5.2,2.6,5.74,15.6,NORMAL
S00000094,EX-001,EXCAVATOR,336,FINAL_DRIVE,2025-08-19,13380.8,834.1,N,85.2,8.0,3.55,6.6,5.5,9.4,2.6,2.2,0.054,0.0,0.0,0.04,97.9,5.3,3.6,4.76,28.0,NORMAL
S00000095,EX-001,EXCAVATOR,336,FINAL_DRIVE,2025-11-17,14196.9,1650.2,N,90.1,16.7,6.71,9.8,7.3,9.3,4.2,2.7,0.048,0.0,0.0,0.07,102.6,9.5,5.6,3.79,49.4,NORMAL
S00000096,EX-001,EXCAVATOR,336,FINAL_DRIVE,2026-02-15,15013.1,54.2,N,48.6,6.4,2.12,4.0,3.4,4.1,1.6,1.1,0.047,0.0,0.0,0.03,100.6,5.2,2.6,5.98,13.8,NORMAL
S00000097,EX-001,EXCAVATOR,336,FINAL_DRIVE,2026-05-16,15829.2,870.4,N,76.5,9.8,4.97,6.4,6.1,9.7,3.2,1.7,0.06,0.0,0.0,0.06,103.3,7.1,4.4,4.75,30.2,NORMAL
S00000047,EX-001,EXCAVATOR,336,HYDRAULIC,2023-04-05,5560.0,1907.7,N,16.3,7.1,1.21,2.0,4.0,8.1,5.2,4.0,0.031,0.0,0.0,0.09,48.9,12.3,5.8,3.23,6.8,NORMAL
S00000048,EX-001,EXCAVATOR,336,HYDRAULIC,2023-07-04,6376.2,13.7,N,6.5,1.9,0.69,0.9,1.9,2.6,1.8,1.0,0.019,0.0,0.0,0.03,45.3,4.7,2.6,4.73,3.4,NORMAL
S00000049,EX-001,EXCAVATOR,336,HYDRAULIC,2023-10-02,7192.3,829.9,N,9.8,3.3,0.81,2.1,3.2,6.3,2.4,1.9,0.038,0.0,0.0,0.05,44.4,8.5,4.0,4.13,5.4,NORMAL
S00000050,EX-001,EXCAVATOR,336,HYDRAULIC,2023-12-31,8008.5,1646.0,N,14.8,5.7,1.66,3.2,4.5,7.5,4.5,2.8,0.036,0.0,0.0,0.09,47.6,10.6,4.8,3.08,7.9,NORMAL
S00000051,EX-001,EXCAVATOR,336,HYDRAULIC,2024-03-30,8824.6,21.3,N,26.2,10.7,1.92,1.1,1.8,2.7,1.7,1.0,0.034,0.0,0.0,0.02,46.2,5.0,2.4,4.75,18.6,ACTION
S00000052,EX-001,EXCAVATOR,336,HYDRAULIC,2024-06-08,9462.6,659.3,N,6.1,3.1,0.8,1.5,2.7,4.9,2.1,1.5,0.022,0.0,0.0,0.04,46.1,7.4,4.4,4.03,5.2,NORMAL
S00000053,EX-001,EXCAVATOR,336,HYDRAULIC,2024-08-20,10124.2,1320.8,N,7.5,6.6,1.31,2.3,2.6,5.6,4.3,1.5,0.022,0.0,0.0,0.06,47.0,9.4,4.9,3.82,6.5,NORMAL
S00000054,EX-001,EXCAVATOR,336,HYDRAULIC,2024-11-18,10940.3,11.3,N,5.1,2.8,0.71,1.4,1.6,2.8,1.4,1.1,0.03,0.0,0.0,0.03,46.6,5.0,2.9,4.61,3.7,NORMAL
S00000055,EX-001,EXCAVATOR,336,HYDRAULIC,2025-02-16,11756.5,827.4,N,10.4,3.8,0.83,2.0,2.7,3.9,3.0,1.8,0.018,0.0,0.0,0.05,45.8,7.9,4.0,3.77,6.4,NORMAL
S00000056,EX-001,EXCAVATOR,336,HYDRAULIC,2025-05-06,12472.3,1543.2,N,13.0,5.5,1.32,2.7,4.2,9.1,3.9,4.0,0.024,0.0,0.0,0.07,46.3,9.6,4.7,3.45,6.3,NORMAL
S00000057,EX-001,EXCAVATOR,336,HYDRAULIC,2025-08-04,13288.5,33.3,N,6.0,2.3,0.55,0.9,1.7,3.3,1.6,1.1,0.178,0.0,0.0,0.02,46.8,6.1,2.7,4.51,4.4,NORMAL
S00000058,EX-001,EXCAVATOR,336,HYDRAULIC,2025-11-02,14104.6,849.5,N,19.0,3.9,0.8,1.7,2.5,5.8,2.3,1.8,7.876,0.0,0.0,0.05,46.0,7.4,3.8,3.93,6.2,MONITOR
S00000059,EX-001,EXCAVATOR,336,HYDRAULIC,2026-01-25,14867.5,1612.4,N,17.6,5.4,1.36,2.7,3.2,7.3,4.0,3.0,0.063,0.0,0.0,0.08,42.4,9.9,5.2,3.26,7.7,NORMAL
S00000060,EX-001,EXCAVATOR,336,HYDRAULIC,2026-04-25,15683.7,55.4,N,6.1,2.4,0.54,1.3,1.3,3.3,1.3,1.1,0.039,0.0,0.0,0.03,46.0,5.7,2.9,4.3,3.7,NORMAL
S00000061,EX-001,EXCAVATOR,336,TRANSMISSION,2023-03-01,5227.0,6.2,N,19.4,10.6,1.82,3.6,3.2,4.5,2.1,1.5,0.031,0.0,0.0,0.06,65.9,5.0,3.4,7.01,7.4,NORMAL
S00000062,EX-001,EXCAVATOR,336,TRANSMISSION,2023-04-19,5669.4,448.6,N,34.6,14.2,2.16,6.4,3.8,6.5,2.6,1.8,0.025,0.0,0.0,0.13,66.0,9.0,4.6,5.57,11.3,NORMAL
S00000063,EX-001,EXCAVATOR,336,TRANSMISSION,2023-06-02,6072.4,851.6,N,33.7,17.7,4.15,6.2,6.6,7.6,3.9,2.8,0.037,0.0,0.0,0.14,68.7,11.0,6.9,4.68,19.9,NORMAL
S00000064,EX-001,EXCAVATOR,336,TRANSMISSION,2023-07-14,6456.1,32.6,N,25.2,7.9,1.21,3.9,4.0,5.4,1.6,1.2,0.02,0.0,0.0,0.06,69.5,6.5,3.3,7.02,8.8,NORMAL
S00000065,EX-001,EXCAVATOR,336,TRANSMISSION,2023-09-10,6979.3,555.8,N,39.8,16.0,3.57,6.9,5.1,5.9,3.5,2.6,0.037,0.0,0.0,0.14,67.9,9.8,6.1,5.49,20.1,NORMAL
S00000066,EX-001,EXCAVATOR,336,TRANSMISSION,2023-11-10,7530.7,50.0,N,16.1,7.3,1.88,3.5,2.8,4.5,2.0,1.4,0.023,0.0,0.0,0.05,68.0,6.4,3.4,6.73,7.3,NORMAL
S00000067,EX-001,EXCAVATOR,336,TRANSMISSION,2024-01-03,8020.4,539.7,N,37.9,13.6,4.18,5.3,5.0,6.4,3.0,2.1,0.023,0.0,0.0,0.11,65.6,9.7,6.1,5.39,17.2,NORMAL
S00000068,EX-001,EXCAVATOR,336,TRANSMISSION,2024-02-26,8509.4,27.4,N,28.6,9.4,2.51,3.3,3.1,3.0,2.1,1.2,0.029,0.0,0.0,0.05,69.8,6.3,3.5,6.11,13.8,NORMAL
S00000069,EX-001,EXCAVATOR,336,TRANSMISSION,2024-04-10,8910.2,428.2,N,87.0,13.3,6.74,4.9,3.5,7.4,3.1,1.8,0.019,0.0,0.0,0.08,67.5,8.9,4.8,5.96,42.7,MONITOR
S00000070,EX-001,EXCAVATOR,336,TRANSMISSION,2024-06-01,9381.0,899.1,N,53.7,14.7,4.93,9.0,7.7,11.6,3.6,1.6,0.017,0.0,0.0,0.16,70.2,13.1,6.4,4.53,20.0,NORMAL
S00000071,EX-001,EXCAVATOR,336,TRANSMISSION,2024-07-09,9729.8,36.7,N,20.3,6.7,2.07,3.5,2.4,3.4,1.6,1.4,0.019,0.0,0.0,0.06,69.1,7.4,4.0,7.22,7.8,NORMAL
S00000072,EX-001,EXCAVATOR,336,TRANSMISSION,2024-09-06,10259.4,566.2,N,39.5,12.5,2.47,5.3,5.3,6.1,2.8,1.9,0.022,0.0,0.0,0.11,67.5,9.8,6.1,5.53,16.5,NORMAL
S00000073,EX-001,EXCAVATOR,336,TRANSMISSION,2024-11-01,10770.1,16.4,N,19.9,9.3,1.96,2.8,3.1,3.7,1.8,1.0,0.021,0.0,0.0,0.04,69.7,6.6,3.2,6.67,6.2,NORMAL
S00000074,EX-001,EXCAVATOR,336,TRANSMISSION,2025-01-01,11325.9,572.2,N,51.2,14.1,3.98,7.7,5.0,5.7,3.7,2.3,0.028,0.0,0.0,0.1,70.4,10.5,6.2,5.41,21.7,NORMAL
S00000075,EX-001,EXCAVATOR,336,TRANSMISSION,2025-03-03,11877.2,29.8,N,20.3,8.4,1.92,3.6,2.5,5.1,1.8,1.2,0.023,0.0,0.0,0.06,67.1,7.5,3.7,6.94,9.1,NORMAL
S00000076,EX-001,EXCAVATOR,336,TRANSMISSION,2025-04-30,12398.4,550.9,N,42.2,18.2,3.38,5.3,5.7,8.4,3.7,2.2,0.024,0.0,0.0,0.09,70.0,9.2,5.7,5.62,12.1,NORMAL
S00000077,EX-001,EXCAVATOR,336,TRANSMISSION,2025-07-11,13058.9,41.7,N,24.9,8.7,1.81,3.7,3.2,4.6,2.3,1.2,0.041,0.0,0.0,0.05,64.9,5.9,3.4,6.87,8.5,NORMAL
S00000078,EX-001,EXCAVATOR,336,TRANSMISSION,2025-08-31,13516.1,498.9,N,35.0,14.3,2.75,6.4,5.2,7.4,3.4,2.0,0.026,0.0,0.0,0.11,71.0,9.4,5.6,5.43,14.3,NORMAL
S00000079,EX-001,EXCAVATOR,336,TRANSMISSION,2025-10-25,14017.1,1000.0,N,50.0,19.0,5.29,8.5,8.7,10.6,5.0,2.6,0.021,0.0,0.0,0.17,72.5,13.4,7.6,4.38,20.8,NORMAL
S00000080,EX-001,EXCAVATOR,336,TRANSMISSION,2025-12-23,14555.3,55.7,N,22.1,6.9,1.43,3.5,2.3,3.6,1.6,1.0,0.033,0.0,0.0,0.05,67.2,6.6,3.4,6.92,8.7,NORMAL
S00000081,EX-001,EXCAVATOR,336,TRANSMISSION,2026-02-20,15086.0,586.4,N,60.8,15.4,5.64,6.0,5.7,8.0,3.1,1.8,0.032,0.0,0.0,0.12,68.4,10.0,5.5,5.07,28.9,MONITOR
S00000082,EX-001,EXCAVATOR,336,TRANSMISSION,2026-04-15,15580.1,4.7,N,80.0,8.4,6.37,3.1,2.6,4.9,1.8,1.2,0.018,0.0,0.0,0.04,69.0,5.6,3.6,7.54,45.5,MONITOR
S00000083,EX-001,EXCAVATOR,336,TRANSMISSION,2026-06-17,16146.9,571.5,N,30.2,14.2,3.98,7.6,4.0,6.8,2.6,1.8,0.036,0.0,0.0,0.11,71.0,10.0,5.4,5.52,13.3,NORMAL
S00000098,EX-002,EXCAVATOR,336,ENGINE,2023-02-25,6209.4,420.1,N,22.4,9.4,3.13,5.3,7.7,10.3,4.9,3.8,0.033,0.82,0.0,0.48,107.7,17.2,9.3,6.94,9.7,NORMAL
S00000099,EX-002,EXCAVATOR,336,ENGINE,2023-04-23,6519.5,7.1,N,9.2,4.4,0.88,1.6,2.3,4.7,2.7,2.6,0.017,0.53,0.0,0.23,104.0,7.0,5.8,9.48,5.7,NORMAL
S00000100,EX-002,EXCAVATOR,336,ENGINE,2023-06-08,6772.9,260.5,N,17.9,7.8,2.43,4.2,5.8,11.3,3.5,2.6,0.017,0.75,0.0,0.44,113.2,13.0,9.3,8.65,8.9,NORMAL
S00000101,EX-002,EXCAVATOR,336,ENGINE,2023-07-27,7044.1,19.3,N,12.3,3.2,1.39,3.7,3.2,5.2,2.4,2.0,0.012,1.16,0.0,0.22,110.1,8.6,5.7,10.22,4.4,NORMAL
S00000102,EX-002,EXCAVATOR,336,ENGINE,2023-09-13,7305.8,281.0,N,14.8,9.0,2.14,4.5,6.0,7.5,2.7,3.2,0.019,0.67,0.0,0.5,111.0,12.5,8.6,8.0,9.0,NORMAL
S00000103,EX-002,EXCAVATOR,336,ENGINE,2023-10-21,7516.7,491.9,N,34.0,8.8,2.95,5.6,6.5,12.8,6.9,5.5,0.025,0.44,0.0,0.69,107.1,18.0,9.9,6.57,12.9,NORMAL
S00000104,EX-002,EXCAVATOR,336,ENGINE,2023-11-25,7704.5,27.8,N,11.0,5.2,1.22,3.0,3.2,5.3,2.9,1.7,0.016,0.6,0.0,0.21,107.2,8.5,6.3,10.21,5.1,NORMAL
S00000105,EX-002,EXCAVATOR,336,ENGINE,2024-01-06,7934.5,257.9,N,22.0,7.3,2.08,5.3,3.2,6.9,2.6,3.1,0.019,0.43,0.0,0.54,109.9,13.1,7.9,8.41,8.8,NORMAL
S00000106,EX-002,EXCAVATOR,336,ENGINE,2024-02-24,8205.4,2.6,N,8.8,4.8,0.95,1.9,2.9,4.5,2.3,1.6,0.025,0.61,0.0,0.18,106.5,7.3,6.0,10.22,4.5,NORMAL
S00000107,EX-002,EXCAVATOR,336,ENGINE,2024-05-02,8579.7,376.9,N,17.7,7.7,2.5,6.1,5.9,7.8,5.9,3.2,0.022,0.45,0.0,0.6,110.4,14.0,9.5,7.23,9.5,NORMAL
S00000108,EX-002,EXCAVATOR,336,ENGINE,2024-06-16,8824.8,42.1,N,13.1,3.8,1.25,2.4,2.5,5.5,2.2,1.8,0.029,0.55,0.0,0.21,110.7,9.7,6.3,9.74,3.9,NORMAL
S00000109,EX-002,EXCAVATOR,336,ENGINE,2024-08-03,9087.0,304.2,N,20.2,6.4,2.8,3.2,5.7,8.7,3.4,3.5,0.034,0.78,0.0,0.56,108.2,12.6,9.3,7.97,9.5,NORMAL
S00000110,EX-002,EXCAVATOR,336,ENGINE,2024-09-24,9371.8,26.0,N,11.7,5.3,1.43,2.5,3.1,4.6,2.3,1.7,0.01,0.68,0.0,0.21,106.8,8.6,6.0,10.03,5.5,NORMAL
S00000111,EX-002,EXCAVATOR,336,ENGINE,2024-11-06,9609.1,263.3,N,19.1,7.6,1.53,6.0,5.3,8.5,3.1,3.4,0.031,0.68,0.0,0.44,107.3,13.2,9.5,7.9,8.9,NORMAL
S00000112,EX-002,EXCAVATOR,336,ENGINE,2024-12-21,9857.4,28.4,N,10.6,4.7,1.26,2.4,3.0,5.2,2.6,2.0,0.011,0.7,0.0,0.22,109.0,9.3,5.8,10.71,5.7,NORMAL
S00000113,EX-002,EXCAVATOR,336,ENGINE,2025-03-04,10255.0,426.1,N,18.0,11.9,2.02,5.7,8.7,13.6,4.6,3.3,0.024,0.63,0.0,0.63,110.1,15.2,10.4,7.06,8.5,NORMAL
