wo_id,machine_id,component,wo_type,failure_code,description,open_date,close_date,smu_at_wo,downtime_hours,parts_cost,labour_cost
WO0000078,EX-002,FINAL_DRIVE,CM,FDR-SEAL,Duo-cone seal leak,2023-10-18,2023-10-23,7891.8,58.3,6451.9,1453.98
WO0000054,EX-002,ENGINE,PM,PM-OIL,Scheduled engine oil and filter change,2023-11-25,2023-11-26,7704.5,5.1,881.24,155.83
WO0000086,EX-002,OTHER,CM,MSC-GEN,Cab / electrical / body repair,2024-01-20,2024-01-22,,9.1,1410.41,1011.77
WO0000080,EX-002,FINAL_DRIVE,CM,FDR-GER,Final drive gear wear,2024-02-07,2024-02-11,8385.4,95.1,13970.72,6641.26
WO0000055,EX-002,ENGINE,PM,PM-OIL,Scheduled engine oil and filter change,2024-02-24,2024-02-25,8205.4,2.9,446.51,259.57
WO0000072,EX-002,TRANSMISSION,PM,PM-OIL,Scheduled transmission oil and filter change,2024-03-20,2024-03-21,8267.7,2.5,744.57,336.08
WO0000079,EX-002,FINAL_DRIVE,PM,PM-OIL,Scheduled final_drive oil and filter change,2024-04-13,2024-04-14,8385.4,2.6,424.55,302.23
WO0000056,EX-002,ENGINE,PM,PM-OIL,Scheduled engine oil and filter change,2024-06-16,2024-06-17,8824.8,3.5,886.75,202.4
WO0000067,EX-002,HYDRAULIC,CM,HYD-PMP,Hydraulic pump wear,2024-06-29,2024-07-05,8879.0,93.4,7807.84,5246.19
WO0000066,EX-002,HYDRAULIC,PM,PM-OIL,Scheduled hydraulic oil and filter change,2024-07-03,2024-07-04,8879.0,4.0,311.89,272.96
WO0000057,EX-002,ENGINE,PM,PM-OIL,Scheduled engine oil and filter change,2024-09-24,2024-09-25,9371.8,5.1,389.21,187.82
WO0000073,EX-002,TRANSMISSION,PM,PM-OIL,Scheduled transmission oil and filter change,2024-10-18,2024-10-19,9434.4,4.3,801.63,366.06
WO0000058,EX-002,ENGINE,PM,PM-OIL,Scheduled engine oil and filter change,2024-12-21,2024-12-22,9857.4,4.1,620.28,122.53
WO0000059,EX-002,ENGINE,CM,ENG-BRG,Main bearing wear,2025-03-03,2025-03-07,10255.0,120.0,13523.55,4612.45
WO0000083,EX-002,OTHER,CM,MSC-GEN,Cab / electrical / body repair,2025-04-04,2025-04-06,,9.2,1437.23,1185.0
WO0000081,EX-002,FINAL_DRIVE,PM,PM-OIL,Scheduled final_drive oil and filter change,2025-04-08,2025-04-09,10359.7,2.7,168.42,228.05
WO0000060,EX-002,ENGINE,PM,PM-OIL,Scheduled engine oil and filter change,2025-04-14,2025-04-15,10480.0,3.6,646.31,325.81
WO0000074,EX-002,TRANSMISSION,PM,PM-OIL,Scheduled transmission oil and filter change,2025-06-07,2025-06-08,10703.0,2.9,646.22,331.36
WO0000061,EX-002,ENGINE,PM,PM-OIL,Scheduled engine oil and filter change,2025-08-03,2025-08-04,11088.0,4.9,707.61,302.41
WO0000068,EX-002,HYDRAULIC,PM,PM-OIL,Scheduled hydraulic oil and filter change,2025-09-26,2025-09-27,11346.8,4.3,498.17,256.47
WO0000062,EX-002,ENGINE,PM,PM-OIL,Scheduled engine oil and filter change,2025-11-03,2025-11-04,11592.1,3.2,234.65,167.14
WO0000069,EX-002,HYDRAULIC,CM,HYD-WTR,Water contamination,2025-11-10,2025-11-22,11840.4,91.7,12488.17,835.51
WO0000075,EX-002,TRANSMISSION,PM,PM-OIL,Scheduled transmission oil and filter change,2026-02-25,2026-02-26,12147.5,3.2,298.26,270.59
WO0000063,EX-002,ENGINE,PM,PM-OIL,Scheduled engine oil and filter change,2026-03-03,2026-03-04,12251.8,3.3,466.75,266.7
WO0000070,EX-002,HYDRAULIC,CM,HYD-PMP,Hydraulic pump wear,2026-03-22,2026-03-29,12333.9,26.8,18031.66,3959.93
WO0000082,EX-002,FINAL_DRIVE,PM,PM-OIL,Scheduled final_drive oil and filter change,2026-04-03,2026-04-04,12333.9,2.6,247.48,344.77
WO0000064,EX-002,ENGINE,PM,PM-OIL,Scheduled engine oil and filter change,2026-06-01,2026-06-02,12747.2,4.0,772.27,260.74
WO0000087,EX-003,ENGINE,PM,PM-OIL,Scheduled engine oil and filter change,2023-02-27,2023-02-28,2488.6,3.0,475.15,366.74
WO0000119,EX-003,TRANSMISSION,PM,PM-OIL,Scheduled transmission oil and filter change,2023-04-06,2023-04-07,2892.5,5.4,364.12,289.6
WO0000130,EX-003,FINAL_DRIVE,PM,PM-OIL,Scheduled final_drive oil and filter change,2023-04-17,2023-04-18,2940.7,3.6,159.51,164.04
WO0000088,EX-003,ENGINE,PM,PM-OIL,Scheduled engine oil and filter change,2023-04-20,2023-04-21,3021.1,2.6,481.63,297.51
WO0000089,EX-003,ENGINE,PM,PM-OIL,Scheduled engine oil and filter change,2023-06-10,2023-06-11,3541.9,6.0,399.31,108.89
WO0000111,EX-003,HYDRAULIC,PM,PM-OIL,Scheduled hydraulic oil and filter change,2023-07-17,2023-07-18,3852.1,2.5,282.46,241.3
WO0000120,EX-003,TRANSMISSION,PM,PM-OIL,Scheduled transmission oil and filter change,2023-07-24,2023-07-25,3999.1,5.5,677.09,154.51
WO0000090,EX-003,ENGINE,PM,PM-OIL,Scheduled engine oil and filter change,2023-08-04,2023-08-05,4097.3,2.6,889.71,154.26
WO0000091,EX-003,ENGINE,PM,PM-OIL,Scheduled engine oil and filter change,2023-10-03,2023-10-04,4710.7,3.1,570.13,236.7
WO0000121,EX-003,TRANSMISSION,PM,PM-OIL,Scheduled transmission oil and filter change,2023-10-31,2023-11-01,5003.8,3.3,723.36,317.93
WO0000092,EX-003,ENGINE,PM,PM-OIL,Scheduled engine oil and filter change,2023-11-27,2023-11-28,5260.5,4.7,860.87,187.97
WO0000131,EX-003,FINAL_DRIVE,PM,PM-OIL,Scheduled final_drive oil and filter change,2024-01-12,2024-01-13,5683.0,2.4,751.27,257.07
WO0000093,EX-003,ENGINE,PM,PM-OIL,Scheduled engine oil and filter change,2024-01-20,2024-01-21,5811.1,2.8,515.11,290.45
WO0000122,EX-003,TRANSMISSION,PM,PM-OIL,Scheduled transmission oil and filter change,2024-02-22,2024-02-23,6162.8,2.9,274.22,321.2
WO0000094,EX-003,ENGINE,PM,PM-OIL,Scheduled engine oil and filter change,2024-03-13,2024-03-14,6356.7,4.1,213.79,216.99
WO0000137,EX-003,OTHER,CM,MSC-GEN,Cab / electrical / body repair,2024-03-15,2024-03-17,,10.6,310.39,291.69
WO0000112,EX-003,HYDRAULIC,PM,PM-OIL,Scheduled hydraulic oil and filter change,2024-04-12,2024-04-13,6594.4,4.3,221.51,182.22
WO0000095,EX-003,ENGINE,PM,PM-OIL,Scheduled engine oil and filter change,2024-05-15,2024-05-16,6989.8,3.3,270.41,384.83
WO0000123,EX-003,TRANSMISSION,PM,PM-OIL,Scheduled transmission oil and filter change,2024-07-10,2024-07-11,7571.0,3.6,710.11,332.62
WO0000096,EX-003,ENGINE,PM,PM-OIL,Scheduled engine oil and filter change,2024-07-12,2024-07-13,7584.5,3.7,439.0,227.66
WO0000097,EX-003,ENGINE,PM,PM-OIL,Scheduled engine oil and filter change,2024-09-21,2024-09-22,8301.0,4.4,857.91,187.27
WO0000098,EX-003,ENGINE,CM,ENG-AIR,Air induction leak / dirt ingress,2024-09-24,2024-10-02,8301.0,58.6,22193.19,5010.42
WO0000132,EX-003,FINAL_DRIVE,PM,PM-OIL,Scheduled final_drive oil and filter change,2024-10-03,2024-10-04,8374.3,2.2,372.83,189.51
WO0000113,EX-003,HYDRAULIC,CM,HYD-PMP,Hydraulic pump wear,2024-10-04,2024-10-14,8412.9,36.8,28229.04,3188.65
WO0000099,EX-003,ENGINE,PM,PM-OIL,Scheduled engine oil and filter change,2024-11-29,2024-11-30,9000.8,4.2,187.67,126.86
WO0000124,EX-003,TRANSMISSION,PM,PM-OIL,Scheduled transmission oil and filter change,2024-12-05,2024-12-06,9071.9,4.5,706.52,160.56
WO0000114,EX-003,HYDRAULIC,PM,PM-OIL,Scheduled hydraulic oil and filter change,2024-12-27,2024-12-28,9223.8,3.2,699.69,331.33
WO0000101,EX-003,ENGINE,CM,ENG-COOL,Coolant entering crankcase,2025-01-01,2025-01-05,9504.5,9.1,13804.3,6832.87
WO0000100,EX-003,ENGINE,PM,PM-OIL,Scheduled engine oil and filter change,2025-01-17,2025-01-18,9504.5,3.9,692.77,370.56
WO0000125,EX-003,TRANSMISSION,PM,PM-OIL,Scheduled transmission oil and filter change,2025-03-27,2025-03-28,10207.4,4.1,234.61,293.32
WO0000102,EX-003,ENGINE,PM,PM-OIL,Scheduled engine oil and filter change,2025-03-31,2025-04-01,10236.8,3.2,640.71,107.68
WO0000126,EX-003,TRANSMISSION,CM,TRN-GER,Gear / clutch pack wear,2025-03-31,2025-04-02,10636.1,42.6,12806.46,2982.91
WO0000115,EX-003,HYDRAULIC,CM,HYD-SEAL,Cylinder seal / dirt ingress,2025-05-08,2025-05-18,11052.0,109.1,12549.98,2595.48
WO0000103,EX-003,ENGINE,PM,PM-OIL,Scheduled engine oil and filter change,2025-06-03,2025-06-04,10892.2,3.4,588.69,193.29
WO0000116,EX-003,HYDRAULIC,CM,HYD-WTR,Water contamination,2025-06-14,2025-06-19,11052.0,52.6,26923.97,5211.0
WO0000133,EX-003,FINAL_DRIVE,PM,PM-OIL,Scheduled final_drive oil and filter change,2025-06-30,2025-07-01,11116.6,2.1,821.69,126.72
WO0000134,EX-003,FINAL_DRIVE,CM,FDR-SEAL,Duo-cone seal leak,2025-07-30,2025-08-08,12030.7,47.9,30343.09,878.67
WO0000104,EX-003,ENGINE,PM,PM-OIL,Scheduled engine oil and filter change,2025-08-02,2025-08-03,11501.0,4.2,416.41,117.79
WO0000127,EX-003,TRANSMISSION,PM,PM-OIL,Scheduled transmission oil and filter change,2025-08-15,2025-08-16,11646.1,4.4,716.71,397.06
WO0000105,EX-003,ENGINE,PM,PM-OIL,Scheduled engine oil and filter change,2025-09-23,2025-09-24,12024.5,3.6,862.29,179.51
WO0000117,EX-003,HYDRAULIC,PM,PM-OIL,Scheduled hydraulic oil and filter change,2025-09-23,2025-09-24,11966.1,4.8,472.82,254.12
WO0000128,EX-003,TRANSMISSION,PM,PM-OIL,Scheduled transmission oil and filter change,2025-11-20,2025-11-21,12625.8,4.3,240.25,190.45
WO0000106,EX-003,ENGINE,PM,PM-OIL,Scheduled engine oil and filter change,2025-12-04,2025-12-05,12757.6,3.7,412.89,260.11
WO0000107,EX-003,ENGINE,PM,PM-OIL,Scheduled engine oil and filter change,2026-01-24,2026-01-25,13282.1,5.8,728.54,351.79
WO0000136,EX-003,OTHER,CM,MSC-GEN,Cab / electrical / body repair,2026-02-12,2026-02-14,,5.6,305.45,716.83
WO0000129,EX-003,TRANSMISSION,PM,PM-OIL,Scheduled transmission oil and filter change,2026-03-05,2026-03-06,13697.9,2.7,419.34,234.31
WO0000135,EX-003,FINAL_DRIVE,PM,PM-OIL,Scheduled final_drive oil and filter change,2026-03-27,2026-03-28,13858.9,2.6,661.88,390.85
WO0000108,EX-003,ENGINE,PM,PM-OIL,Scheduled engine oil and filter change,2026-03-30,2026-03-31,13941.2,2.9,663.54,356.94
WO0000109,EX-003,ENGINE,CM,ENG-INJ,Injector leak / fuel dilution,2026-04-27,2026-04-30,14390.7,44.3,44840.9,5971.54
WO0000110,EX-003,ENGINE,PM,PM-OIL,Scheduled engine oil and filter change,2026-06-04,2026-06-05,14604.7,4.4,287.9,312.0
WO0000118,EX-003,HYDRAULIC,PM,PM-OIL,Scheduled hydraulic oil and filter change,2026-06-16,2026-06-17,14666.9,3.2,485.55,398.75
WO0000138,EX-004,ENGINE,PM,PM-OIL,Scheduled engine oil and filter change,2023-03-29,2023-03-30,5179.0,5.2,769.0,379.97
WO0000152,EX-004,HYDRAULIC,PM,PM-OIL,Scheduled hydraulic oil and filter change,2023-04-20,2023-04-21,5296.1,3.9,371.03,166.91
WO0000139,EX-004,ENGINE,PM,PM-OIL,Scheduled engine oil and filter change,2023-06-26,2023-06-27,5669.1,6.0,437.13,270.39
WO0000157,EX-004,TRANSMISSION,PM,PM-OIL,Scheduled transmission oil and filter change,2023-06-27,2023-06-28,5696.1,3.2,294.64,211.92
WO0000140,EX-004,ENGINE,PM,PM-OIL,Scheduled engine oil and filter change,2023-09-29,2023-09-30,6186.6,3.9,852.83,371.84
WO0000141,EX-004,ENGINE,CM,ENG-INJ,Injector leak / fuel dilution,2023-11-07,2023-11-16,6496.9,36.7,29007.29,6775.21
WO0000162,EX-004,FINAL_DRIVE,PM,PM-OIL,Scheduled final_drive oil and filter change,2024-01-06,2024-01-07,6771.9,3.0,367.46,393.01
WO0000142,EX-004,ENGINE,PM,PM-OIL,Scheduled engine oil and filter change,2024-01-10,2024-01-11,6747.6,5.5,828.64,362.23
WO0000158,EX-004,TRANSMISSION,PM,PM-OIL,Scheduled transmission oil and filter change,2024-02-09,2024-02-10,6933.9,3.9,423.59,228.21
WO0000143,EX-004,ENGINE,PM,PM-OIL,Scheduled engine oil and filter change,2024-04-22,2024-04-23,7315.2,3.9,477.27,343.42
WO0000153,EX-004,HYDRAULIC,PM,PM-OIL,Scheduled hydraulic oil and filter change,2024-07-13,2024-07-14,7755.8,3.6,485.66,148.3
WO0000144,EX-004,ENGINE,PM,PM-OIL,Scheduled engine oil and filter change,2024-08-21,2024-08-22,7974.5,4.8,869.32,250.37
WO0000159,EX-004,TRANSMISSION,PM,PM-OIL,Scheduled transmission oil and filter change,2024-10-08,2024-10-09,8256.8,4.3,859.02,355.93
WO0000146,EX-004,ENGINE,CM,ENG-AIR,Air induction leak / dirt ingress,2024-10-15,2024-10-21,8512.2,94.7,22757.5,8163.22
WO0000154,EX-004,HYDRAULIC,CM,HYD-PMP,Hydraulic pump wear,2024-10-17,2024-10-28,8739.7,16.3,38117.2,2420.75
WO0000145,EX-004,ENGINE,PM,PM-OIL,Scheduled engine oil and filter change,2024-11-27,2024-11-28,8512.2,5.5,550.06,272.22
WO0000163,EX-004,FINAL_DRIVE,PM,PM-OIL,Scheduled final_drive oil and filter change,2024-12-31,2025-01-01,8739.7,4.8,454.8,344.79
WO0000147,EX-004,ENGINE,PM,PM-OIL,Scheduled engine oil and filter change,2025-03-09,2025-03-10,9067.5,4.0,503.53,336.71
WO0000148,EX-004,ENGINE,PM,PM-OIL,Scheduled engine oil and filter change,2025-06-13,2025-06-14,9590.6,4.6,877.55,213.49
WO0000160,EX-004,TRANSMISSION,PM,PM-OIL,Scheduled transmission oil and filter change,2025-06-18,2025-06-19,9640.1,5.5,248.92,282.87
WO0000167,EX-004,OTHER,CM,MSC-GEN,Cab / electrical / body repair,2025-10-02,2025-10-04,,13.5,261.48,180.39
WO0000155,EX-004,HYDRAULIC,PM,PM-OIL,Scheduled hydraulic oil and filter change,2025-10-06,2025-10-07,10215.5,3.8,241.17,270.43
WO0000149,EX-004,ENGINE,PM,PM-OIL,Scheduled engine oil and filter change,2025-10-15,2025-10-16,10271.5,2.3,684.27,319.58
WO0000168,EX-004,OTHER,CM,MSC-GEN,Cab / electrical / body repair,2025-12-06,2025-12-08,,4.5,466.41,1104.99
WO0000165,EX-004,FINAL_DRIVE,CM,FDR-GER,Final drive gear wear,2025-12-07,2025-12-16,10707.5,37.7,20440.22,3963.08
WO0000164,EX-004,FINAL_DRIVE,PM,PM-OIL,Scheduled final_drive oil and filter change,2025-12-26,2025-12-27,10707.5,4.5,205.85,119.08
WO0000166,EX-004,FINAL_DRIVE,CM,FDR-GER,Final drive gear wear,2025-12-31,2026-01-07,11199.4,73.4,18914.24,5616.11
WO0000150,EX-004,ENGINE,PM,PM-OIL,Scheduled engine oil and filter change,2026-03-02,2026-03-03,11024.6,5.2,246.56,117.42
WO0000161,EX-004,TRANSMISSION,PM,PM-OIL,Scheduled transmission oil and filter change,2026-03-10,2026-03-11,11088.3,3.9,478.39,248.2
WO0000156,EX-004,HYDRAULIC,CM,HYD-WTR,Water contamination,2026-03-16,2026-03-20,11199.4,108.3,1951.76,3292.16
WO0000151,EX-004,ENGINE,PM,PM-OIL,Scheduled engine oil and filter change,2026-06-22,2026-06-23,11638.7,3.4,223.8,305.12
WO0000169,EX-005,ENGINE,PM,PM-OIL,Scheduled engine oil and filter change,2023-03-06,2023-03-07,1792.5,2.8,174.99,195.37
WO0000199,EX-005,TRANSMISSION,PM,PM-OIL,Scheduled transmission oil and filter change,2023-03-18,2023-03-19,1759.2,5.7,690.88,287.68
WO0000170,EX-005,ENGINE,PM,PM-OIL,Scheduled engine oil and filter change,2023-05-05,2023-05-06,2348.6,4.5,392.21,261.43
WO0000208,EX-005,FINAL_DRIVE,CM,FDR-SEAL,Duo-cone seal leak,2023-06-18,2023-06-28,2909.8,76.1,4851.17,2586.67
WO0000171,EX-005,ENGINE,PM,PM-OIL,Scheduled engine oil and filter change,2023-07-04,2023-07-05,2893.7,4.2,732.31,252.62
WO0000193,EX-005,HYDRAULIC,PM,PM-OIL,Scheduled hydraulic oil and filter change,2023-07-10,2023-07-11,2869.4,4.2,561.08,332.75
WO0000200,EX-005,TRANSMISSION,PM,PM-OIL,Scheduled transmission oil and filter change,2023-08-17,2023-08-18,3158.7,2.2,648.62,240.86
WO0000172,EX-005,ENGINE,PM,PM-OIL,Scheduled engine oil and filter change,2023-08-29,2023-08-30,3414.2,4.6,420.25,223.68
WO0000209,EX-005,FINAL_DRIVE,PM,PM-OIL,Scheduled final_drive oil and filter change,2023-10-01,2023-10-02,3736.2,2.3,432.8,389.52
WO0000173,EX-005,ENGINE,PM,PM-OIL,Scheduled engine oil and filter change,2023-11-12,2023-11-13,4099.3,5.3,722.87,365.34
WO0000201,EX-005,TRANSMISSION,PM,PM-OIL,Scheduled transmission oil and filter change,2023-11-30,2023-12-01,4118.1,5.6,291.87,121.64
WO0000195,EX-005,HYDRAULIC,CM,HYD-WTR,Water contamination,2024-01-04,2024-01-15,5013.2,112.6,22888.83,3869.44
WO0000174,EX-005,ENGINE,PM,PM-OIL,Scheduled engine oil and filter change,2024-01-07,2024-01-08,4616.0,3.4,401.31,372.17
WO0000194,EX-005,HYDRAULIC,PM,PM-OIL,Scheduled hydraulic oil and filter change,2024-02-29,2024-03-01,5013.2,4.0,413.28,222.32
WO0000175,EX-005,ENGINE,PM,PM-OIL,Scheduled engine oil and filter change,2024-03-04,2024-03-05,5135.4,3.5,337.72,349.78
WO0000177,EX-005,ENGINE,CM,ENG-COOL,Coolant entering crankcase,2024-04-17,2024-04-23,5648.9,14.2,34833.51,6716.23
WO0000176,EX-005,ENGINE,PM,PM-OIL,Scheduled engine oil and filter change,2024-04-29,2024-04-30,5648.9,5.4,762.61,116.86
WO0000202,EX-005,TRANSMISSION,PM,PM-OIL,Scheduled transmission oil and filter change,2024-05-01,2024-05-02,5528.9,4.0,824.94,221.99
WO0000210,EX-005,FINAL_DRIVE,PM,PM-OIL,Scheduled final_drive oil and filter change,2024-05-19,2024-05-20,5865.5,2.4,226.99,391.51
